review_id,product_sku,star_rating,review_text,review_date,verified_purchase
PR-000111,LUMEN-HUB-MINI,2,"After the latest update, the battery needs charging twice a day... Also, the sync forgets my device. Also, the screen stutters constantly. Would not recommend right now.",2025-04-20,True
PR-000112,LUMEN-BUDS-2,2,"For the price, the battery needs charging twice a day. Hope the next patch sorts it out.",2026-04-04,True
PR-000113,LUMEN-WATCH-X,5,"Honestly, the pairing has excellent sound. Support, can you help?",2026-05-29,True
PR-000114,LUMEN-BUDS-2,4,"Honestly, the charge is surprisingly responsive. Expected better from Lumen.",2025-01-25,False
PR-000115,LUMEN-HUB-MINI,2,"After the latest update, the screen fit is uncomfortable.",2026-04-12,True
PR-000116,LUMEN-BUDS-2,3,"I love how this feels premium, but the wifi forgets my device. :/",2025-12-15,True
PR-000117,LUMEN-HUB-MINI,4,"For the price, the onboarding looks fantastic. Hope the next patch sorts it out.",2025-06-30,True
PR-000118,LUMEN-WATCH-X,1,"Sadly, the battery needs charging twice a day. Also, the interface keeps crashing.",2025-09-21,True
PR-000119,LUMEN-BUDS-2,2,"After the latest update, the buttons fit is uncomfortable. Also, the interface keeps crashing. Hope the next patch sorts it out.",2025-01-12,True
PR-000120,LUMEN-WATCH-X,2,"Quick update, the package arrived late.",2025-08-06,True
PR-000121,LUMEN-WATCH-X,5,"After the latest update, the interface was easy to set up.",2025-03-19,True
PR-000122,LUMEN-HUB-MINI,2,"Not gonna lie, the sound made my routine easier. Would not recommend right now.",2025-11-23,True
PR-000123,LUMEN-WATCH-X,1,"For the price, the account onboarding is broken. Also, the battery life needs charging twice a day.",2025-06-05,False
PR-000124,LUMEN-HUB-MINI,1,"Three weeks in, the screen hurts after an hour. Hope the next patch sorts it out.",2026-06-10,True
PR-000125,LUMEN-BUDS-2,1,"Quick update, the login onboarding is broken. Also, the sync disconnects at random. This is getting old.",2025-03-26,True
PR-000126,LUMEN-WATCH-X,1,"Five stars for making sure the noise cancellation volume is too low... Just kidding. Also, the box wrong item was shipped. This is getting old.",2025-06-07,True
PR-000127,LUMEN-HUB-MINI,3,"I love how this is surprisingly responsive, but the charging won't hold a charge. Also, the noise cancellation sound crackles. Would not recommend right now.",2025-05-13,True
PR-000128,LUMEN-BUDS-2,1,"Quick update, the charge drains while idle. Also, the performance became painfully slow.",2025-08-13,True
PR-000129,LUMEN-HUB-MINI,3,"Honetly, the account has excellent sound. This is getting old.",2026-05-24,True
PR-000130,LUMEN-HUB-MINI,4,"Three weeks in, the battery is surprisingly responsive. Please fix this.",2026-01-04,True
PR-000131,LUMEN-BUDS-2,4,"Quick update, the battery is surprisingly responsive.",2026-06-04,True
PR-000132,LUMEN-HUB-MINI,4,"I love how this feels premium, but the battery life barely lasts 6 hours. Hope the next patch sorts it out.",2025-10-08,False
PR-000133,LUMEN-BUDS-2,2,"Sadly, the volume sound crackles.",2026-03-02,True
PR-000134,LUMEN-BUDS-2,1,"Since yesterday, the app stutters constantly. Also, the power drain needs charging twice a day.",2026-04-11,True
PR-000135,LUMEN-HUB-MINI,1,"Three weeks in, the battery needs charging twice a day. Also, the app lags after every tap. Also, the buttons buttons feel cheap.",2025-08-20,False
PR-000136,LUMEN-HUB-MINI,5,"Sadly, the pairing fits perfectly. Support, can you help?",2026-03-17,True
PR-000137,LUMEN-BUDS-2,2,"Three weeks in, the charging needs charging twice a day.",2025-07-07,False
PR-000138,LUMEN-BUDS-2,2,"Quick update, the buttons case scratches easily. This is getting old.",2025-03-15,True
PR-000139,LUMEN-HUB-MINI,1,"Since yesterday, the microphone volume is too low. Also, the app keeps crashing.",2026-04-30,True
PR-000140,LUMEN-WATCH-X,2,"Hoonestly, the replacement was easy to set up... Please fix this.",2026-06-08,False
PR-000141,LUMEN-BUDS-2,3,"I love how this has excellent sound, but the wifi won't sync!! This is getting old.",2025-04-28,True
PR-000142,LUMEN-BUDS-2,2,Five stars for making sure the onboarding login never completes. Just kidding.,2025-11-19,True
PR-000143,LUMEN-HUB-MINI,2,"I love how this made my routine easier, but the connection drops the connection. Also, the microphone sound crackles. Please fix this.",2025-05-17,True
PR-000144,LUMEN-BUDS-2,3,"I love how this fits perfectly, but the box box was damaged!! Also, the onboarding onboarding is broken. This is getting old.",2026-03-09,True
PR-000145,LUMEN-WATCH-X,2,"Honestly, the shipping replacement never came. Expected better from Lumen. ugh",2025-06-24,True
PR-000146,LUMEN-BUDS-2,1,"Quick update, the shipping arrived late. Support, can you help?",2025-02-25,False
PR-000147,LUMEN-WATCH-X,3,"After the latest update, the sync refuses to pair. Hope the next patch sorts it out.",2025-01-28,True
PR-000148,LUMEN-BUDS-2,3,"Sadly, the charge barely lasts 4 hours. Support, can you help?",2025-05-15,True
PR-000149,LUMEN-BUDS-2,3,"I love how this made my routine easier, but the sync disconnects at random. :/",2026-05-06,True
PR-000150,LUMEN-HUB-MINI,2,"Amazing job, Lumen—now my battery needs charging twice a day.",2026-01-17,True
PR-000151,LUMEN-WATCH-X,2,"Not gonna lie, the connection won't sync. This is getting old.",2025-03-02,False
PR-000152,LUMEN-BUDS-2,1,"I love how this looks fantastic, but the charge barely lasts 2 hours. Also, the interface lags after every tap. Would not recommend right now.",2025-10-05,True
PR-000153,LUMEN-HUB-MINI,3,"Three weeks in, the wifi was easy to set up. Hope the next patch sorts it out.",2026-04-17,True
PR-000154,LUMEN-BUDS-2,3,"I love how this has excellent sound, but the design buttons feel cheap. This is getting old.",2026-01-09,True
PR-000155,LUMEN-BUDS-2,1,"Since yesterday, the power drain barely lasts 5 hours. Also, the interface freezes every few minutes.",2025-06-24,True
PR-000156,LUMEN-WATCH-X,1,"Not gonna lie, the volume sound crackles. Expected better from Lumen.",2025-03-17,False
PR-000157,LUMEN-HUB-MINI,1,"Not gonna lie, the bluetooth forgets my device. Also, the power drain needs charging twice a day. Expected better from Lumen.",2025-09-27,False
PR-000158,LUMEN-WATCH-X,5,"Honestly, the shipping works exactly as promised. Hope the next patch sorts it out.",2025-01-03,False
PR-000159,LUMEN-BUDS-2,5,"Three weeks in, the login was easy to set up. Support, can you help?",2026-05-12,True
PR-000160,LUMEN-BUDS-2,3,"Sadly, the firmware lags after every tap.",2026-06-22,True
PR-000161,LUMEN-BUDS-2,4,"Not gonna lie, the sync has excellent sound. Expected better from Lumen.",2026-03-26,True
PR-000162,LUMEN-HUB-MINI,3,"For the price, the buttons screen is hard to read. Also, the interface became painfully slow.",2025-02-12,True
PR-000163,LUMEN-BUDS-2,3,Love paying premium prices so the design huts after an hour.,2025-05-10,True
PR-000164,LUMEN-BUDS-2,2,"Not gonna lie, the battery life dies before lunch. Also, the delivery arrived late. Also, the audio sound crackles. This is getting old.",2025-03-10,True
PR-000165,LUMEN-BUDS-2,4,"Since yesterday, the case fits perfectly. Would not recommend right now.",2025-02-19,True
PR-000166,LUMEN-WATCH-X,1,"Not gonna lie, the bluetooth disconnects at random!! Would not recommend rigght now.",2026-04-26,True
PR-000167,LUMEN-HUB-MINI,2,"Sadly, the app became painfully slow. Please fix this.",2025-04-14,True
PR-000168,LUMEN-BUDS-2,5,"Not gonna lie, the microphone works exactly as promised. Hope the next patch sorts it out.",2025-01-10,False
PR-000169,LUMEN-HUB-MINI,4,"Honestly, the design works exactly as promised. Please fix this.",2025-10-18,True
PR-000170,LUMEN-HUB-MINI,2,Exactly what I wanted: a device that won't hold a charge. Would not recommend right now.,2026-02-01,True
PR-000171,LUMEN-BUDS-2,2,"Not gonna lie, the setup instructions are confusing.",2025-08-22,True
PR-000172,LUMEN-BUDS-2,4,"I love how this works exacctly as promised, but the shipping arrived late. Would not recommend right now.",2025-08-11,True
PR-000173,LUMEN-WATCH-X,4,"Three weeks in, the firmware feels premium.",2026-05-18,True
PR-000174,LUMEN-WATCH-X,1,"I love how this was easy to set up, but the sound volume is too low.",2026-04-15,True
PR-000175,LUMEN-HUB-MINI,2,"I love how this is surprisingly responsive, but the battery life drains while idle. This is getting old.",2025-10-19,False
PR-000176,LUMEN-WATCH-X,1,"Three weeks in, the charging drains while idle. Also, the interface lags after every tap.",2026-03-04,True
PR-000177,LUMEN-HUB-MINI,2,"Since yesterday, the buttons buttons feel cheap...",2025-04-25,True
PR-000178,LUMEN-WATCH-X,1,"Sadly, the volume microphone sounds muffled. Hope the next patch sorts it out.",2026-06-19,True
PR-000179,LUMEN-BUDS-2,2,"After the latest update, the sync forgets my device. Also, the performance keeps crashing.",2025-01-06,True
PR-000180,LUMEN-WATCH-X,3,"Three weeks in, the charging made my routine easier. Would not recommend right now.",2025-11-25,True
PR-000181,LUMEN-HUB-MINI,3,"I love how this is surprisingly responsive, but the battery dies before lunch. Would not recommend right now.",2025-01-13,True
PR-000182,LUMEN-BUDS-2,4,"Quick update, the app works exactly as promised.",2026-06-06,True
PR-000183,LUMEN-WATCH-X,3,"I love how this feels premium, but the charge won't hold a charge. #notimpressed",2025-02-01,True
PR-000184,LUMEN-BUDS-2,4,"After the latest update, the interface feels premium. Support, can you help?",2025-09-13,True
PR-000185,LUMEN-HUB-MINI,1,"Quick update, the account setup loops forever. Also, the package package was already open.",2025-03-15,True
PR-000186,LUMEN-BUDS-2,1,"I love how this fits perfectly, but the charge drains while idle. Also, the wifi forgets my device. Also, the case screen is hard to read. This is getting old.",2025-06-10,True
PR-000187,LUMEN-BUDS-2,4,"Quick update, the firmware looks fantastic. Support, can you help?",2026-02-10,True
PR-000188,LUMEN-BUDS-2,1,"Honestly, the volume audio cuts out. Also, the fit case scratches easily. Hope the next patch sorts it out.",2025-12-03,True
PR-000189,LUMEN-HUB-MINI,4,"Honestly, the installation onboarding is broken. Also, the firmware stutters constantly.",2026-04-02,False
PR-000190,LUMEN-BUDS-2,2,"Three weeks in, the battery life dies before lunch. Also, the account instructions are confusing. Support, can you help?",2025-08-10,True
PR-000191,LUMEN-HUB-MINI,3,"Since yesterday, the fit case scratches eaasily. Hope the next patch sorts it out.",2025-02-03,False
PR-000192,LUMEN-BUDS-2,4,"Sadly, the charging feels premium. Expected better from Lmen.",2025-09-03,True
PR-000193,LUMEN-WATCH-X,2,"Honestly, the onboarding instructions are confusing. Also, the sound noise cancellation got worse.",2025-01-20,True
PR-000194,LUMEN-BUDS-2,2,"Sadly, the sync forgets my devie.",2026-05-29,False
PR-000195,LUMEN-BUDS-2,3,"I love how this has excellent sound, but the package box was damaged... Expected better from Lumen.",2025-04-10,False
PR-000196,LUMEN-BUDS-2,3,"I love how this works exactly as promised, but the performance lags after every tap. Would not recommend right now.",2026-06-04,True
PR-000197,LUMEN-WATCH-X,2,"After the latest update, the volume audio cuts out. Please fix this.",2025-03-27,False
PR-000198,LUMEN-HUB-MINI,3,"I love how this looks fantastic, but the performance became painfully slow. Support, can you help?",2026-05-16,True
PR-000199,LUMEN-HUB-MINI,1,"After the latest update, the battery dies before lunch. Would not recommend right now.",2026-03-23,True
PR-000200,LUMEN-HUB-MINI,4,"Since yesterday, the sync drops the connection. Hope the next patch sorts it out.",2026-02-09,True
PR-000201,LUMEN-WATCH-X,2,"After the latest update, the app became painfully slow. Also, the replacement arrived late.",2025-01-30,True
PR-000202,LUMEN-BUDS-2,1,"After the latest update, the delivery arrived late!! Support, can you help?",2026-02-14,True
PR-000203,LUMEN-WATCH-X,2,"For the price, the battery life dies before lunch!! Expected better from Lumen.",2025-08-06,True
PR-000204,LUMEN-WATCH-X,1,"Three weeks in, the battery drains while idle. Also, the sound audio cuts out.",2025-09-08,True
PR-000205,LUMEN-BUDS-2,2,"Quick update, the delivery box was damaged. This is getting old.",2025-12-26,False
PR-000206,LUMEN-BUDS-2,1,"After the latest update, the installation account linking fails. Hope the next patch sorts it out.",2025-11-24,True
PR-000207,LUMEN-WATCH-X,5,"Three weeks in, the delivery looks fantastic. Please fix this.",2025-06-08,True
PR-000208,LUMEN-BUDS-2,2,"Three weeks in, the wifi refuses to pair. Also, the buttons case scratches easily.",2026-05-03,True
PR-000209,LUMEN-BUDS-2,4,"Since yesterday, the package has excellent sound. Hope the next patch sorts it out.",2025-03-23,True
PR-000210,LUMEN-WATCH-X,2,"Three weeks in, the firmware became painfully slow. Would not recommend right now.",2026-01-29,False
PR-000211,LUMEN-WATCH-X,2,Love paying premium prices so the screen hurts after an hour. Please fix this.,2026-03-28,True
PR-000212,LUMEN-HUB-MINI,1,"After the latest update, the interface lags after every tap. This is getting old.",2025-02-20,True
PR-000213,LUMEN-BUDS-2,2,"Quick update, the charging won't hold a charge!! Support, can you help?",2026-02-15,True
PR-000214,LUMEN-HUB-MINI,3,"I love how this was easy to set up, but the design fit is uncomfortable. Would not recommend right now.",2025-05-15,True
PR-000215,LUMEN-WATCH-X,4,"Three weeks in, the shipping is surprisingly responsive. Please fix this.",2026-06-09,True
PR-000216,LUMEN-HUB-MINI,2,"After the latest update, the performance freezes every few minutes. smh",2025-10-23,True
PR-000217,LUMEN-HUB-MINI,3,"After the latest update, the screen stutters constantly. Please fix this.",2025-08-29,True
PR-000218,LUMEN-HUB-MINI,4,"Not gonna lie, the package fits perfectly. Would not recommend right now.",2026-01-10,True
PR-000219,LUMEN-BUDS-2,4,"Since yesterday, the case made my routine easier. Hope the next patch sorts it out.",2026-04-13,True
PR-000220,LUMEN-HUB-MINI,3,"Quick update, the replacement made my routine easier. Would not recommend right now.",2025-10-25,True
PR-000221,LUMEN-BUDS-2,5,"Quick update, the audio was easy to set up.",2026-06-29,True
PR-000222,LUMEN-WATCH-X,2,"For the price, the screen lags after every tap. Hope the next patch sorts it out.",2026-02-22,True
PR-000223,LUMEN-BUDS-2,1,"Sadly, the login onboarding is broken. Also, the screen keeps crashing. Please fix this.",2025-06-06,True
PR-000224,LUMEN-HUB-MINI,3,"Honestly, the login feels premium. Support, can you help?",2025-04-30,False
PR-000225,LUMEN-WATCH-X,1,"Quick update, the app keeps crashing. Also, the charge barely lasts 5 hours. Also, the wifi drops the connection.",2025-03-04,True
PR-000226,LUMEN-HUB-MINI,1,"Honestly, the charging barely lasts 3 hours. Also, the case screen is hard to read. Also, the app became painfully slow. Hope the next patch sorts it out.",2025-08-01,True
PR-000227,LUMEN-WATCH-X,2,"Sadly, the charge dies before lunch. Also, the app keeps crashing. Please fix this.",2025-09-05,True
PR-000228,LUMEN-HUB-MINI,5,"Quick update, the buttons fits perfectly. Would not recommend right now.",2025-03-03,True
PR-000229,LUMEN-WATCH-X,5,"After the latest update, the delivery works exactly as promised. Would not recommend right now.",2025-02-27,False
PR-000230,LUMEN-BUDS-2,3,"Not gonna lie, the design screen is hard to read. Please fix this.",2025-02-21,True
PR-000231,LUMEN-HUB-MINI,1,"Honestly, the interface became painfully slow. Also, the onboarding onboarding is broken.",2026-01-07,True
PR-000232,LUMEN-BUDS-2,4,"Since yesterday, the battery works exactly as promised. Please fix this.",2026-03-31,True
PR-000233,LUMEN-BUDS-2,4,"Sadly, the battery life looks fantastic. Would not recommend right now.",2025-06-18,True
