ticket_id,customer_id,ticket_text,category_tag,resolution_time_hours,created_date
ST-000069,CUST-634216,"I love how this has excellent sound, but the charging needs charging twice a day. Hope the next patch sorts it out.",,7.89,2025-07-29
ST-000070,CUST-073375,"I love how this was easy to set up, but the account account linking fails. Would not recommend right now.",,9.6,2025-05-29
ST-000071,CUST-433036,"Since yesterday, the installation login never completes!!",setup,26.75,2025-12-05
ST-000072,CUST-541458,"Quick update, the screen stutters constantly. Expected better from Lumen.",,5.0,2026-02-18
ST-000073,CUST-685014,"I love how this made my routine easier, but the interface became painfully slow. ???",performance,5.37,2025-02-15
ST-000074,CUST-294019,"After the latest update, the connection forgets my device.",,4.01,2025-02-15
ST-000075,CUST-655698,"For the price, the bluetooth drops the connection. Support, can you help?",,5.39,2026-04-02
ST-000076,CUST-169340,"Ater the latest update, the design buttons feel cheap. Support, can you help?",design,7.79,2025-03-22
ST-000077,CUST-608835,"Quick update, the volume was easy to set up. Would not recommend right now.",,10.65,2025-03-20
ST-000078,CUST-615951,"For the price, the onboarding setup loops forever. Also, the power drain won't hold a charge. Would not recommend right now.",,10.5,2025-10-05
ST-000079,CUST-484656,"Honestly, the screen became painfully slow. Also, the connecton forgets my device. Expected better from Lumen.",,4.97,2025-10-28
ST-000080,CUST-482366,"Three weeks in, the pairing forgets my device... Support, can you help?",,23.81,2025-10-19
ST-000081,CUST-299468,"I love how this works exactly as promised, but the power drain drains while idle. Also, the volume noise cancellation got worse. Also, the buttons fit is uncomfortable. Would not recommend right now.",battery,26.27,2025-08-08
ST-000082,CUST-044369,"Since yesterday, the design case scratches easily. Also, the firmware keeps crashing.",,4.57,2026-04-23
ST-000083,CUST-957773,"Honestly, the screen works exactly as promised. Wouuld not recommend right now.",,6.35,2025-01-21
ST-000084,CUST-872148,"I love how this works exactly as promised, but the wifi won't sync. Also, the interface lags after every tap. Hope the next patch sorts it out.",,1.63,2025-07-05
ST-000085,CUST-951343,"Amazing job, Lumen—now my account onboarding is broken.",,18.31,2026-01-18
ST-000086,CUST-320037,"Sadly, the battery life barely lasts 2 hours. Also, the login setup loops forever. Also, the fit case scratches easily.",,18.06,2025-12-06
ST-000087,CUST-917693,"Sadly, the login login never completes.",setup,6.25,2025-05-18
ST-000088,CUST-676320,"Honestly, the screen keeps crashing. Please fix this.",,5.94,2026-04-07
ST-000089,CUST-163287,"Three weeks in, the interface lags after every tap. Support, can you help?",performance,8.12,2025-02-02
ST-000090,CUST-083172,"Since yesterday, the case case scratches easily. Hope the next patch sorts it out. ugh",design,12.14,2026-03-22
ST-000091,CUST-788957,"Honestly, the volume noise cancellation got worse.",,15.73,2025-10-10
ST-000092,CUST-986872,Love paying premium prices so the sreen screen is hard to read. Hope the next patch sorts it out.,design,16.05,2025-04-10
ST-000093,CUST-774348,"I love how this made my routine easier, but the case hurts after an hour. Would not recommend right now.",,2.24,2025-11-16
ST-000094,CUST-734714,"Since yesterday, the power drain dies before lunch. Expected better from Lumen.",,13.08,2025-08-08
ST-000095,CUST-345581,"For the price, the screen case scratches easily. Expected better from Lumen.",,4.95,2025-05-20
ST-000096,CUST-223623,"Not gonna lie, the fit looks fantastic. Would not recommend right now.",,9.81,2025-07-04
ST-000097,CUST-166587,"For the price, the screen screen is hard to read. Please fix this.",,5.41,2026-01-23
ST-000098,CUST-603669,Exactly what I wanted: a device that package was already open.,,11.36,2026-06-24
ST-000099,CUST-096705,"Not gonna lie, the adio audio cuts out. Hope the next patch sorts it out.",,9.07,2026-03-05
ST-000100,CUST-466889,"For the prie, the screen keeps crashing.",,4.64,2025-08-02
ST-000101,CUST-373467,"Honesly, the charge barely lasts 2 hours. Support, can you help?",,16.68,2025-09-10
ST-000102,CUST-065627,"Sadly, the installation login never completes. Hope the next patch sorts it out. smh",,16.58,2025-07-20
ST-000103,CUST-298069,"For the price, the volume noise cancellation got worse.",,48.0,2026-03-04
ST-000104,CUST-901627,"Quick update, the login onboarding is broken.",,11.04,2025-06-23
ST-000105,CUST-204653,"After the latest update, the battery life won't hold a charge.",,6.97,2025-06-23
ST-000106,CUST-755646,"Honestly, the onboarding onboarding is broken. Also, the screen hurts after an hour. smh",,4.45,2025-02-20
ST-000107,CUST-417080,"Amazing job, Lumen—now my box package was already open.",,4.82,2025-04-16
ST-000108,CUST-531003,"I love how this fits perfectly, but the firmware keeps crashing... Hope the next patch sorts it out.",,39.06,2025-01-14
ST-000109,CUST-309232,"Quick update, the sync drops the connection. Also, the interface stutters constantly. Also, the onboarding instructions are confusing. This is getting old.",,7.37,2026-04-16
ST-000110,CUST-719374,"After the latest update, the sync forgets my device.",,3.92,2026-02-06
ST-000111,CUST-529912,"Afteer the latest update, the delivery wrong item was shipped. Hope the next patch sorts it out.",,14.22,2026-04-09
ST-000112,CUST-419049,"Quick update, the firmware lags after every tap.",,5.24,2025-10-24
ST-000113,CUST-663193,"Honestly, the pairing drops the connection. Also, the screen fit is uncomfortable. Would not recommend right now.",,4.55,2025-03-25
ST-000114,CUST-149190,Exactly what I wanted: a device that package was already open. This is getting old.,,15.56,2025-02-12
ST-000115,CUST-586518,"Not gonna lie, the login instructions are confusing.",,3.84,2025-02-11
ST-000116,CUST-506716,"Since yesterday, the shipping package was already open. This is getting old.",,15.27,2025-03-08
ST-000117,CUST-572628,"I love how this is surprisingly responsive, but the wifi won't sync. Would not recommend right now.",connectivity,18.36,2025-02-28
ST-000118,CUST-498776,"Sadly, the connection forgets my device. This is getting old.",connectivity,8.83,2025-06-01
ST-000119,CUST-945314,"Since yesterday, the performance lags after every tap. Also, the onboarding onboarding is broken. Also, the sound sound crackles.",,13.76,2026-03-13
ST-000120,CUST-737996,"I love how this fits perfectly, but the pairing forgets my device. Hope the next patch sorts it out.",,3.24,2025-04-11
ST-000121,CUST-507527,"Sadly, the onboarding setup loops forever. Support, can you help?",,3.23,2026-05-06
ST-000122,CUST-354549,"After the latest update, the charging barely lasts 6 hours. Also, the wifi refuses to pair. Please fix this.",,2.5,2026-05-07
ST-000123,CUST-480831,"Honestly, the audio audio cuts out. Also, the charge drains while idle. Expected better from Lumen.",audio,17.24,2025-11-11
ST-000124,CUST-367837,"I love how this works exactly as promised, but the power drain barely lasts 5 hours. This is getting old.",,8.41,2025-06-17
ST-000125,CUST-770143,"After the latest update, the design buttons feel cheap!! Support, can you help?",design,11.49,2025-02-21
ST-000126,CUST-634957,"For the price, the microphone volume is too low. Also, the battery dies before lunch. This is getting old.",,17.72,2025-04-14
ST-000127,CUST-885685,"For the price, the power drain drains while idle. Expected better from Lumen.",,8.22,2025-09-21
ST-000128,CUST-574443,Five stars for making sure the fit hurts after an hour!! Just kidding.,,13.31,2025-08-22
ST-000129,CUST-135182,"I love how this fits perfectly, but the interface freezes every few minutes.",,4.04,2025-05-21
ST-000130,CUST-337498,"Quick update, the sound volume is too low. Please fix this. smh",,11.6,2025-10-07
ST-000131,CUST-941343,"Since yesterday, the replacement box was damaged. Hope the next patch sorts it out.",,4.99,2025-09-18
ST-000132,CUST-524082,"After the latest updatee, the box replacement never came. Please fix this.",,2.08,2026-05-28
ST-000133,CUST-400842,"Not gonna lie, the onboarding account linking fails. This is getting old.",,21.26,2025-10-18
ST-000134,CUST-710947,"Quick update, the screen fit is uncomfortable.",,7.56,2025-05-11
ST-000135,CUST-775204,"For the price, the replacement box was damaged.",,14.46,2025-03-19
ST-000136,CUST-711671,"After the latest update, the pairing forgets my device. Also, the onboarding login never completes. Expected better from Lumen.",,7.01,2026-04-17
ST-000137,CUST-902294,"I love how this made my routine easier, but the design screen is hard to read. Would not recommend right now.",design,4.16,2025-09-15
ST-000138,CUST-131869,"Honestly, the sound sound crackles. Also, the bluetooth forgets my device. Also, the interface keeps crashing. Please fix this.",audio,19.96,2025-05-13
ST-000139,CUST-993867,"Not gonna lie, the bluetooth won't sync. Expected better from Lumen.",,4.42,2025-06-27
ST-000140,CUST-749649,"Threee weeks in, the interface lags after every tap.",,9.09,2026-01-12
ST-000141,CUST-909133,"After the latest update, the account instructions are confusing.",,9.74,2026-03-05
ST-000142,CUST-412328,"Quick update, the buttons case scratches easily. Suppot, can you help?",,7.78,2026-03-28
ST-000143,CUST-120679,"Since yesterday, the screen keeps crashing. Would not recommend right now.",,5.58,2026-05-26
ST-000144,CUST-740344,"I love how this was easy to set up, but the buttons fit is uncomfortable. Also, the setup setup loops forever. Expected better from Lumen.",design,11.46,2026-05-09
ST-000145,CUST-713493,"Quick update, the power drain needs charging twice a day. Also, the installation account linking fails.",,19.97,2025-10-13
ST-000146,CUST-618324,"I love how this fits perfectly, but the volume sound crackles.",,4.26,2025-12-13
ST-000147,CUST-210249,Love paying premium prices so the setup instructions are confusing.,,13.96,2025-01-07
ST-000148,CUST-947174,"For the price, the wifi forgets my device. Also, the replacement box was damaged. Would not recommend right now.",,10.64,2026-03-02
ST-000149,CUST-648877,"Since yesterday, the performance keeps crashing. Also, the battery life won't hold a charge. Hope the next patch sorts it out.",,12.42,2025-01-09
ST-000150,CUST-190659,"Quick update, the microphone noise cancellation got worse. Also, the screen fit is uncomfortable.",audio,6.91,2025-05-10
ST-000151,CUST-401399,"After the latest update, the design buttons feel cheap!!",design,3.49,2025-03-06
ST-000152,CUST-049027,"Not gonna lie, the battery won't hold a charge. Also, the performance became painfully slow. Expected better from Lumen.",,21.41,2025-02-15
ST-000153,CUST-874296,"Three weeks in, the design buttons feel cheap. Pllease fix this.",,7.79,2025-05-05
ST-000154,CUST-717565,Five stars for making sure the sync won't sync. Just kidding.,,7.92,2026-04-20
ST-000155,CUST-512567,"Since yesterday, the noise cancellation audio cuts out. Expected better from Lumen.",,11.31,2025-01-23
ST-000156,CUST-468071,"After the latest update, the fit hurts after an hour. Support, can you help?",,3.35,2025-07-18
ST-000157,CUST-545168,"For the price, the noise cancellation microphone sounds muffled. Also, the package package was already open. Also, the account instructions are confusing.",,9.65,2026-01-21
ST-000158,CUST-087603,"After the latest update, the sync won't sync...",,15.99,2025-03-21
ST-000159,CUST-859770,"I love how this works exactly as promised, but the connection refuses to pair. Support, can you help?",,3.39,2025-05-08
ST-000160,CUST-348247,"Since yesterday, the bluetooth drops the connection. Would not recommend right now.",,20.35,2026-02-24
ST-000161,CUST-710932,"After the latest update, the power drain won't hold a charge... This is getting old.",,4.44,2025-05-10
ST-000162,CUST-480861,Five stars for making sure the buttons screen is hard to read. Just kidding.,,8.14,2025-06-06
ST-000163,CUST-317127,"Honestly, the charging dies before lunch. #notimpressed",,7.08,2025-11-09
ST-000164,CUST-484677,"Since yesterday, the battery won't hold a charge. Would not recommend right now.",,4.46,2025-08-11
ST-000165,CUST-378263,"Quick update, the sync drops the connection. Hope the next patch sorts it out.",,13.8,2025-02-17
ST-000166,CUST-982146,"Sadly, the installation setup loops forever. Hope the next patch sorts it out.",setup,10.32,2025-12-13
ST-000167,CUST-584044,"After the latest update, the case fit is uncomfortable. This is getting old.",,3.62,2025-06-09
ST-000168,CUST-997278,"Not gonna lie, the charge drains while idle.",battery,14.63,2025-11-24
ST-000169,CUST-755886,"Quick update, the setup account linking fails. Also, the charge won't hold a charge. Would not recommend right now. #notimpressed",,29.93,2026-02-03
ST-000170,CUST-753396,"I love how this has excellent sound, but the app lags after every tap. Hope the next patch sorts it out.",,5.71,2025-03-07
ST-000171,CUST-360576,"I love how this is surprisingly responsive, but the performance lags after every tap. Expected better from Lumen.",,11.94,2025-01-28
ST-000172,CUST-627028,"Sadly, the box box was damaged. Would not recommend right now.",,4.82,2025-09-21
ST-000173,CUST-951718,"I love how this has excellent sound, but the package replacement never came. Support, can you help?",,14.35,2026-05-28
ST-000174,CUST-702621,"Since yesterday, the replacement box was damaged. Also, the sound sound crackles.",,6.28,2026-06-18
ST-000175,CUST-745961,"Not gonna lie, the power drain won't hold a charge. Also, the wifi disconnects at random. Would not recommend right now.",,26.51,2025-02-28
ST-000176,CUST-586578,"For the price, the buttons fit is uncomfortable!! Also, the battery needs charging twice a day. Hope the next patch sorts it out.",design,14.79,2025-02-16
ST-000177,CUST-091343,"Not gonna lie, the account account linking fails.",,14.15,2025-08-24
ST-000178,CUST-161172,"Honestly, the fit buttons feel cheap.",,5.45,2025-11-20
ST-000179,CUST-400504,"Honestly, the case hurts after an hour.",design,4.13,2026-05-25
ST-000180,CUST-556238,"Since yesterday, the installation setup loops forever. Also, the sound microphone sounds muffled. Support, can you help?",,24.72,2025-04-05
ST-000181,CUST-692221,"Three weeks in, the screen screen is hard to read. Also, the charging dies before lunch. Would not recommend right now.",,9.11,2025-01-30
ST-000182,CUST-969379,"Quick update, the sync was easy to set up. Support, can you help?",,5.72,2026-01-26
ST-000183,CUST-237474,"For the price, the screen hurts after an hour. Also, the battery life barely lasts 3 hours. Hope the next patch sorts it out.",,7.58,2025-07-20
ST-000184,CUST-074821,"Five stars for making sure the app stutters constantly. Just kidding. Also, the account login never completes. Also, the case screen is hard to read.",performance,10.48,2026-06-15
ST-000185,CUST-759464,"I love how this made my routine easier, but the sync forgets my device. Also, the firmware stutters constantly.",,11.81,2025-01-09
ST-000186,CUST-743671,"After the latest update, the charge needs charging twice a day!!",battery,5.0,2025-03-07
ST-000187,CUST-369594,"Sadly, the volume volume is too low. Also, the bluetooth refuses to pair. smh",,16.58,2025-11-20
ST-000188,CUST-406409,"After the latest update, the battery life won't hold a charge. Also, the shipping replacement never came. Would not recommend right now.",,29.11,2026-06-12
ST-000189,CUST-097439,"Three weeks in, the battery life won't hold a charge.",,11.34,2025-09-21
ST-000190,CUST-533942,"I love how this feels premium, but the battery life barely lasts 3 hours.",,8.78,2025-10-27
ST-000191,CUST-104709,"Since yesterday, the power drain needs charging twice a day. Also, the screen case scratches easily. Hope the next patch sorts it out.",,9.42,2025-10-03
ST-000192,CUST-521456,"I love how this was easy to set up, but the onboarding account linking fails. Also, the performance stutters constantly. Expected better from Lumen.",,22.87,2025-07-01
ST-000193,CUST-232858,"Honestly, the wifi refses to pair.",,8.3,2025-07-03
ST-000194,CUST-842474,"Not gonna lie, the installation onboarding is broken. #notimpressed",,4.74,2025-09-22
ST-000195,CUST-517123,"Quick update, the power drain barely lasts 6 hours!!",,4.12,2025-11-07
ST-000196,CUST-685160,"I love how this has excellent sound, but the battery life needs charging twice a day. Would not recommend right now.",,5.86,2026-03-21
ST-000197,CUST-481754,"Honestly, the charge won't hold a charge.",,12.05,2025-03-06
ST-000198,CUST-965137,"Not gonna lie, the interface lags after every tap.",performance,4.62,2025-07-22
ST-000199,CUST-098593,"After the latest update, the design case scratches easily. Also, the sync refuses to pair. Also, the firmware freezes every few minutes. Expected better from Lumen.",,6.26,2025-04-24
ST-000200,CUST-174612,"Since yesterday, the pairing refuses to pair.",,8.74,2025-06-13
ST-000201,CUST-004711,"Sadly, the onboarding setup loops forever. Expected better from Lumenn.",,5.06,2026-05-02
ST-000202,CUST-382675,"Since yesterday, the interface became painfully slow. Also, the buttons buttons feel cheap. Support, can you help?",,7.28,2026-04-05
ST-000203,CUST-869261,"I love how this fits perfectly, but the package arrived late!! Also, the screen hurts after an hour.",,10.32,2025-02-27
ST-000204,CUST-796405,"Quick update, the noise cancellation voume is too low.",,4.45,2025-05-27
ST-000205,CUST-377351,"Quick update, the bluetooth drops the connection. Also, the onboarding login never completes. Please fix this.",,24.74,2025-05-07
ST-000206,CUST-585064,"Honestly, the shipping box was damaged. Would not recommend right now.",,3.93,2026-01-28
ST-000207,CUST-317139,"Sadly, the fit case scratches easily. Hope the next patch sorts it out.",,9.58,2025-07-27
ST-000208,CUST-005329,"For the price, the app stutters constantly. Also, the battery dies before lunch. Support, can you help?",,3.78,2025-01-25
ST-000209,CUST-318393,"Sadly, the app became painfully slow.",,22.16,2025-02-24
ST-000210,CUST-352904,"For the price, the battery won't hold a charge. Would not recommend right now.",,19.07,2025-06-27
ST-000211,CUST-228421,"Since yesterday, the bluetooth looks fantastic.",,25.38,2025-02-05
ST-000212,CUST-020539,"Three weeks in, the power drain needs charging twice a day. Would not recommend right now.",,14.55,2026-05-03
ST-000213,CUST-502402,"I love how this is surprisingly responsive, but the battery life needs charging twice a day. Also, the installation setup loops forever.",battery,12.07,2025-12-08
ST-000214,CUST-681177,"Not gonna lie, the setup login never completes. smh",setup,2.68,2025-10-31
ST-000215,CUST-589178,"Honestly, the app looks fantastic... Hope the next patch sorts it out.",,3.37,2025-03-08
ST-000216,CUST-390847,"For the price, the battery life needs charging twice a day. Would not recommend right now.",,5.85,2025-04-14
ST-000217,CUST-007661,"After the latest update, the setup instructions are confusing.",,5.56,2025-06-21
ST-000218,CUST-771159,"Sadly, the firmware became painfully slow. Hope the next patch sorts it out.",,40.28,2025-09-16
ST-000219,CUST-212499,"Not gonna lie, the connection forgets my device. Hope the next patch sorts it out.",,20.31,2026-06-15
ST-000220,CUST-856984,"Quick update, the firmware freezes every few minutes!! Expected better from Lumen.",,6.13,2026-06-04
ST-000221,CUST-789611,"I love how this has excellent sound, but the pairing refuses to pair. Also, the charge dies before lunch.",,6.95,2025-03-14
ST-000222,CUST-836736,"Honestly, the screen keeps crashing. Also, the noise cancellation volume is too low. This is getting old.",,1.28,2026-04-06
ST-000223,CUST-576615,"After the latest update, the charging needs charging twice a day.",,3.89,2025-07-23
ST-000224,CUST-654527,"I love how this fits perfectly, but the power drain barely lasts 2 hours.",,7.75,2025-12-15
ST-000225,CUST-111161,"Honestly, the battery dies before lunch. Expected better from Lumen.",,12.01,2025-10-25
ST-000226,CUST-528098,"After the latest update, the connection refuses to pair. Please fix this.",,10.73,2026-01-20
ST-000227,CUST-851656,"I love how this is suprisingly responsive, but the battery dies before lunch.",,10.03,2026-06-02
ST-000228,CUST-049451,"Three weeks in, the audio volume is too low. Would not recommend right now.",,6.72,2025-03-17
ST-000229,CUST-983273,"Three weeks in, the performance became painfully slow. Support, can you help?",performance,5.55,2025-12-11
ST-000230,CUST-158514,"Honestly, the fit case scratches easily. Also, the charging drains while idle. Please fix this.",,7.82,2025-04-18
ST-000231,CUST-936899,"Three weeks in, the app works exactly as promised. Please fix this.",,4.61,2026-03-21
ST-000232,CUST-809402,"Amazing job, Lumen—now my onboarding instructions are confusing.",,7.48,2025-08-27
ST-000233,CUST-445502,"Three weeks in, the screen fit is uncomfortable... Also, the onboarding setup loops forever. Also, the interface became painfully slow.",,3.09,2025-10-10
ST-000234,CUST-296120,"Quick update, the screen buttons feel cheap. This is getting old.",,4.21,2025-02-06
ST-000235,CUST-183667,"Honestly, the onboarding made my routine easier!! Would not recommend right now.",,4.67,2026-02-26
ST-000236,CUST-525459,"Quick update, the charge won't hold a charge.",,14.98,2026-01-02
ST-000237,CUST-910229,Five stars for making sure the volume noise cancellation got worse. Just kidding. Please fix this.,,10.25,2025-05-09
ST-000238,CUST-014767,"For the price, the battery life dies before lunch. Also, the performance lags after every tap. This is getting old. :/",,6.95,2025-05-03
ST-000239,CUST-976438,"Quick update, the battery drains while idle. Would not recommend right now.",,9.79,2025-04-09
ST-000240,CUST-156149,"Sadly, the replacement replacement never came. Would not recommend right now.",,2.26,2025-09-18
ST-000241,CUST-784036,"Since yesterday, the package arrived late. This is getting old.",delivery,3.37,2026-06-17
ST-000242,CUST-900343,"Three weeks in, the design fit is uncomfortable... Would not recommend right now.",,3.69,2026-05-27
ST-000243,CUST-244510,"Since yesterday, the bluetooth refuses to pair. Expected better from Lumen.",,10.85,2025-06-01
ST-000244,CUST-762268,"Honestly, the onboarding login never completes.",setup,8.46,2026-02-07
ST-000245,CUST-388516,"Not gonna lie, the package box was damaged.",,7.33,2025-06-22
ST-000246,CUST-060715,"For the price, the case screen is hard to read. Also, the shipping package was already open. Hope the next patch sorts it out.",,13.28,2026-06-22
ST-000247,CUST-969664,"For the price, the charging won't hold a charge!! Please fix this.",,7.76,2026-01-12
ST-000248,CUST-160529,"I love how this looks fantastic, but the performance lags after every tap. Expected better from Lumen.",,5.03,2025-09-16
ST-000249,CUST-751613,"After the latest update, the buttons fit is uncomfortable. Also, the replacement replacement never came. Would not recommend right now.",design,24.72,2026-06-06
ST-000250,CUST-696816,"Quick update, the login instructions are confusing. Hope the next patch sorts it out.",setup,6.51,2025-11-19
