review_id,platform,star_rating,review_text,app_version,review_date
AR-000031,ios,1,"Since yesterday, the charging drains while idle. Expected better from Lumen.",5.5.0,2026-05-29
AR-000032,ios,4,"I love how this is surprisingly responsive, but the buttons screen is hard to read. Also, the sound volume is too low. Expected better from Lumen.",5.5.0,2026-03-07
AR-000033,ios,2,"Five stars for making sure the charging barely lasts 2 hours. Just kidding. Support, can you help?",5.5.0,2026-06-17
AR-000034,android,4,"Quick update, the interface made my routine easier.",5.3.2,2025-05-28
AR-000035,android,2,"Sadly, the charge needs charging twice a day. Please fix this.",5.4.0,2025-07-11
AR-000036,ios,3,"I love how this has excellent sound, but the power drain barely lasts 5 hours.",5.3.2,2025-05-17
AR-000037,android,5,"Quick update, the battery life is surprisingly responsive. Support, can you help?",5.4.2,2025-10-13
AR-000038,android,3,"Three weeks in, the battery drains while idle. Also, the firmware became painfully slow. This is getting old.",5.3.2,2025-05-24
AR-000039,ios,2,"I love how this has excellent sound, but the charging dies before lunch. Also, the screen freezes every few minutes.",5.3.2,2025-03-23
AR-000040,android,1,"Quick update, the fit case scratches easily. Also, the installation setup loops forever. Support, can you help?",5.5.0,2026-06-11
AR-000041,ios,4,"After the latest update, the volume looks fantastic. This is getting old.",5.5.0,2026-06-28
AR-000042,android,2,"Three weeks in, the design hurts after an hour...",5.5.0,2026-04-15
AR-000043,android,2,"Since yesterday, the bluetooth refuses to pair. Also, the performance freezes every few minutes. Support, can you help?",5.5.0,2026-05-29
AR-000044,ios,1,"Three weeks in, the microphone noise cancellation got worse.",5.4.2,2025-11-07
AR-000045,android,5,"After the latest update, the bluetooth works exactly as promised. Support, can you help?",5.4.2,2026-01-13
AR-000046,android,2,"Quick update, the noise cancellation volume is too low. Would not recommend right now.",5.5.0,2026-06-08
AR-000047,android,2,"Quick update, the power drain won't hold a charge. smh",5.4.0,2025-08-12
AR-000048,android,1,"Honestly, the battery won't hold a charge. Also, the sync forgets my device. Please fix this.",5.4.2,2025-11-11
AR-000049,ios,3,"Three weeks in, the power drain drains while idle!! Please fix this.",5.4.0,2025-08-20
AR-000050,ios,2,"After the latest update, the audio microphone sounds muffled. Would not recommend right now.",5.3.2,2025-03-11
AR-000051,android,2,"Since yesteday, the volume audio cuts out!! This is getting old.",5.3.2,2025-04-18
AR-000052,ios,3,"I love how this fits perfectly, but the battery won't hold a charge. Hope the next patch sorts it out. ???",5.4.2,2025-12-25
AR-000053,ios,3,"I love how this feels premium, but the audio audio cuts out. Please fix this.",5.4.2,2025-11-08
AR-000054,android,2,"Quick update, the charging dies before lunch.",5.4.0,2025-07-20
AR-000055,android,1,"Since yesterday, the screen became painfully slow. This is getting old.",5.4.0,2025-07-11
AR-000056,android,2,"After the latest update, the connection disconnects at random. Please fix this.",5.3.2,2025-04-17
AR-000057,ios,2,"Three weeks in, the case hurts after an hour.",5.4.0,2025-07-31
AR-000058,ios,1,"After the latest update, the screen fit is uncomfortable.",5.5.0,2026-03-26
AR-000059,android,5,"After the latest update, the volume looks fantastic. Hope the next patch sorts it out.",5.3.2,2025-04-01
AR-000060,android,2,"Not gonna lie, the account login never completes. Also, the power drain barely lasts 4 hours. Also, the connection disconnects at random.",5.4.0,2025-08-18
AR-000061,ios,3,"Not gonna lie, the setup instructions are confusing.",5.5.0,2026-03-22
AR-000062,ios,3,"For the price, the pairing refuses to pair. Also, the login account linking fails. Support, can you help?",5.3.2,2025-01-27
AR-000063,android,2,"Quiick update, the charging won't hold a charge.",5.4.0,2025-09-13
AR-000064,android,2,"Since yesterday, the power drain won't hold a charge. Hope the next patch sorts it out.",5.4.0,2025-08-02
AR-000065,ios,3,"Not gonna lie, the charging dies before lunch. Expected better from Lumen.",5.4.0,2025-06-23
AR-000066,ios,3,"After the latest update, the battery life won't hold a charge.",5.5.0,2026-03-20
AR-000067,ios,2,"After the latest update, the screen screen is hard to read. Also, the firmware keeps crashing. Would not recommend right now.",5.4.2,2026-01-19
AR-000068,ios,3,"I love how this works exactly as promised, but the bluetooth forgets my device. This is getting old.",5.4.0,2025-07-06
AR-000069,android,5,"Sadly, the shipping fits perfectly. Hope the next patch sorts it out.",5.5.0,2026-04-01
AR-000070,ios,5,"Three weeks in, the power drain was easy to set up. Expected better from Lumen.",5.5.0,2026-05-25
AR-000071,ios,2,"After the latest update, the onboarding setup loops forever. Also, the performance became painfully slow. This is getting old.",5.5.0,2026-05-14
AR-000072,android,5,"Sadly, the app works exactly as promised.",5.4.2,2025-10-23
AR-000073,android,2,"Amazing job, Lumen—now my connection drops the connection.",5.4.2,2025-12-12
AR-000074,android,1,"Sadly, the screen became painfully slow. Expected better from Lumen.",5.4.2,2025-12-19
AR-000075,android,2,"Sadly, the audio microphone sounds muffled. Hope the next ptch sorts it out.",5.4.0,2025-09-12
AR-000076,ios,3,"I love how this feels premium, but the login onboarding is broken. Support, can you help?",5.5.0,2026-05-21
AR-000077,ios,3,"For the price, the screen freezes every few minutes.",5.5.0,2026-03-22
AR-000078,ios,3,"I love how this feels premium, but the volume sound crackles. Also, the onboarding account linking fails.",5.4.0,2025-07-29
AR-000079,android,3,"Quick update, the screen hurts after an hour. This is getting old.",5.5.0,2026-03-22
AR-000080,android,5,"Sadly, the interface works exactly as promised. This is getting old.",5.4.0,2025-07-16
AR-000081,android,3,"Quick update, the installation onboarding is broken. Expected better from Lumen.",5.4.2,2026-01-19
AR-000082,ios,5,"After the latest update, the case has excellent sound... Would not recommend right now.",5.4.0,2025-06-16
AR-000083,ios,1,"Not gonna lie, the battery life dies before lunch. Support, can you help?",5.4.0,2025-07-31
AR-000084,android,1,"I love how this made my routine easier, but the onboarding instructions are confusing. Please fix this.",5.5.0,2026-02-24
AR-000085,ios,1,"For the price, the performance became painfully slow. Also, the charge needs charging twice a day. Also, the fit buttons feel cheap. Hope the next patch sorts it out. #notimpressed",5.4.0,2025-06-18
AR-000086,ios,2,"Three weeks in, the screen became painfully slow. Would not recommend right now.",5.4.2,2025-12-30
AR-000087,ios,1,"For the price, the battery life drains while idle. Also, the bluetooth refuses to pair.",5.3.2,2025-04-02
AR-000088,ios,2,"Since yesterday, the power drain barely lasts 4 hours. Hope the next patch sorts it out.",5.5.0,2026-05-29
AR-000089,android,2,"Honestly, the sound microphone sounds muffled.",5.3.2,2025-02-27
AR-000090,android,1,"Since yesterday, the volume microphone sounds muffled. Expected better from Lumen.",5.4.2,2025-10-14
AR-000091,ios,4,"After the latest update, the battery fits perfectly.",5.4.0,2025-08-20
AR-000092,android,2,"Honestly, the pairing won't sync. Support, can you help? #notimpressed",5.5.0,2026-06-23
AR-000093,ios,1,"Not gonna lie, the box arrived late. Also, the onboarding account linking fails. Would not recommend right now.",5.5.0,2026-04-11
AR-000094,android,1,"Since yesterday, the charging needs charging twice a day.",5.4.0,2025-09-25
AR-000095,android,2,"I love how this fits perfectly, but the charging barely lasts 4 hours. Also, the case fit is uncomfortable. Support, can you help? ugh",5.3.2,2025-05-06
AR-000096,ios,2,"Sadly, the sync forgets my device. Expected better from Lumen.",5.4.2,2025-12-21
AR-000097,android,2,"Not gonna lie, the wifi forgets my device. Also, the power drain needs charging twice a day. Please fix this.",5.3.2,2025-05-15
AR-000098,ios,2,"After the ltest update, the replacement replacement never came. Also, the performance keeps crashing. #notimpressed",5.4.2,2025-10-23
AR-000099,android,3,"Honnestly, the app keeps crashing. Hope the next patch sorts it out.",5.4.2,2025-10-02
AR-000100,android,2,"Honestly, the noise cancellation noise cancellation got worse.",5.5.0,2026-06-24
AR-000101,ios,2,"Quick update, the design hurts after an hour. This is getting old.",5.5.0,2026-04-07
AR-000102,ios,1,"After the latest update, the connection refuses to pair. Please fix this.",5.4.0,2025-07-11
AR-000103,android,5,"Since yesterday, the case made my routine easier. Please fix this.",5.4.0,2025-08-24
AR-000104,ios,2,"For the price, the sync drops the connection. Also, the app became painfully slow. Also, the noise cancellation microphone sounds muffled. Hope the next patch sorts it out.",5.3.2,2025-05-23
AR-000105,android,5,"Honestly, the charge works exactly as promised. Support, can you help?",5.4.2,2025-11-25
AR-000106,ios,5,"Sadly, the bluetooth is surprisingly responsive. Expected better from Lumen.",5.5.0,2026-06-08
AR-000107,ios,2,"Not gonna lie, the design screen is hard to read.",5.3.2,2025-01-27
AR-000108,ios,2,"Since yesterday, the firmware became painfully slow. Would not recommend right now.",5.4.0,2025-08-18
AR-000109,android,1,"Three weeks in, the screen case scratches easily.",5.3.2,2025-02-25
AR-000110,android,3,"Since yesterday, the pairing disconnects at ranndom. Would not recommend right now.",5.5.0,2026-05-18
AR-000111,ios,2,"Honestly, the sound audio cuts out. Hope the next patch sorts it out.",5.4.2,2025-10-21
AR-000112,ios,5,"Three weeks in, the charge is surprisingly responsive. Support, can you help?",5.4.0,2025-08-03
AR-000113,android,4,"Honestly, the design fits perfectly. This is getting old.",5.5.0,2026-03-13
AR-000114,ios,2,"Quik update, the bluetooth looks fantastic. Expected better from Lumen.",5.3.2,2025-02-01
AR-000115,android,4,"After the latest update, the setup has excellent sound. Supportt, can you help?",5.4.2,2025-10-31
AR-000116,android,3,"I love how this is surprisingly responsive, but the interface keeps crashing. Also, the connection drops the connection. Please fix this.",5.5.0,2026-03-25
AR-000117,android,3,"Not gonna lie, the power drain needs charging twice a day.",5.3.2,2025-02-12
AR-000118,ios,4,"Three weeks in, the power drain is surprisingly responsive. Supportt, can you help?",5.3.2,2025-05-16
AR-000119,android,1,"Not gonna lie, the volume microphone sounds muffled. Also, the charging dies before lunch. Please fix this. :/",5.4.0,2025-08-27
AR-000120,ios,5,"Three weeks in, the pairing fits perfectly.",5.3.2,2025-05-07
AR-000121,ios,2,"I love how this looks fantastic, but the power drain drains while idle.",5.4.0,2025-08-29
AR-000122,ios,1,"Quick update, the app lags after every tap. Also, the login account linking fails.",5.3.2,2025-02-03
AR-000123,android,2,"Sadly, the sync forgets my device. Please fix this.",5.4.2,2025-11-15
AR-000124,ios,1,"Quick update, the screen lags after every tap. Hope the next patch sorts it out.",5.4.0,2025-08-02
AR-000125,ios,2,"Since yesterday, the design fit is uncomfortable.",5.4.2,2026-01-29
AR-000126,ios,2,"Since yesterday, the screen lags after every tap. Would not recommend right now.",5.3.2,2025-05-17
AR-000127,ios,3,"Sadly, the charging drains while idle.",5.3.2,2025-01-28
AR-000128,ios,1,"After the latest update, the microphone audio cuts out. Also, the charge drains while idle. This is getting old.",5.4.2,2026-01-19
AR-000129,ios,3,"Three weeks in, the wifi disconnects at random. Also, the installation account linking fails. Support, can you help?",5.5.0,2026-02-21
AR-000130,android,1,"I love how this fels premium, but the charge barely lasts 2 hours. Also, the onboarding instructions are confusing. Please fix this.",5.4.2,2026-01-04
AR-000131,android,2,"I love how this feels premium, but the power drain won't hold a charge. Expected better from Lumen.",5.3.2,2025-01-06
AR-000132,ios,4,"Since yesterday, the screen feels premium... Please fix this.",5.5.0,2026-06-17
AR-000133,android,4,"I love how this has excellent sound, but the battery life dies before lunch. Would not recommend right now.",5.4.2,2026-01-22
AR-000134,android,1,"After the latest update, the pairing drops the connection.",5.4.2,2026-01-26
AR-000135,ios,3,Love paying premium prices so the charging dies before lunch. Hope the next patch sorts it out.,5.4.0,2025-08-01
AR-000136,ios,1,"Not gonna lie, the account account linking fails. Support, can you help? ???",5.4.2,2025-10-15
AR-000137,ios,3,"Three weeks in, the app stutters constantly. Hope the next patch sorts it out.",5.4.0,2025-07-07
AR-000138,android,3,"I love how this is surprisingly responsive, but the onboarding login never completes. Please fix this.",5.4.0,2025-06-19
AR-000139,ios,2,"Honestly, the charging dies before lunch. Also, the wifi forgets my device. Hope the next patch sorts it out.",5.3.2,2025-04-25
AR-000140,ios,1,"I love how this is surprisingly responsive, but the noise cancellation volume is too low. Also, the onboarding account linking fails. Please fix this.",5.4.2,2026-01-04
AR-000141,ios,3,"I love how this fits perfectly, but the account login never completes.",5.5.0,2026-04-10
AR-000142,android,2,"After the latest update, the charging barely lasts 2 hours. This is getting old.",5.4.2,2025-10-07
AR-000143,ios,2,"Not gonna lie, the firmware freezes every few minutes. Would not recommend right now. ???",5.5.0,2026-05-27
AR-000144,ios,5,"For the price, the installation was easy to set up. This is getting old.",5.3.2,2025-04-24
AR-000145,android,2,"Not gonna lie, the pairing drops the connection. Would not recommend right now. ugh",5.5.0,2026-02-04
AR-000146,android,1,"After the latest update, the performance stutters constantly. Hope the next patch sorts it out.",5.4.0,2025-09-02
AR-000147,ios,1,"Three weeks in, the battery barely lasts 5 hours. Please fix this.",5.4.0,2025-08-06
AR-000148,android,2,"Sadly, the charging dies before lunch. Support, can you help?",5.3.2,2025-04-15
AR-000149,ios,3,"Since yesterday, the battery life dies before lunch. Support, can you help?",5.4.0,2025-09-14
AR-000150,android,2,"Three weeks in, the setup instructions are confusing.",5.5.0,2026-04-14
AR-000151,android,1,"Quick update, the app stutters constantly.",5.3.2,2025-05-26
AR-000152,android,3,"I love how this made my routine easier, but the wifi refuses to pair. Would not recommend right now.",5.3.2,2025-01-25
AR-000153,ios,2,"Not gonna lie, the screen hurts after an hour. Would not recommend right now.",5.3.2,2025-02-13
AR-000154,android,3,"Quck update, the design fit is uncomfortable.",5.5.0,2026-05-27
AR-000155,android,4,"Sadly, the interface lags after every tap. Support, can you help?",5.3.2,2025-04-11
AR-000156,android,3,"Since yesterday, the sound volume is too low.",5.5.0,2026-02-05
AR-000157,android,3,"Honestly, the login login never completes. Would not recommend right now.",5.3.2,2025-02-12
AR-000158,ios,1,"For the price, the account account linking fails. Support, can you help?",5.3.2,2025-03-17
AR-000159,android,2,"I love how this fits perfectly, but the fit case scratches easily.",5.4.0,2025-07-15
AR-000160,android,1,"Since yesterday, the battery won't hold a charge. Also, the setup login never completes. Would not recommend right now.",5.4.0,2025-08-22
AR-000161,android,2,"Honestly, the wifi forgets my device.",5.5.0,2026-06-08
AR-000162,ios,1,"Afer the latest update, the bluetooth forgets my device. Expected better from Lumen.",5.3.2,2025-04-18
AR-000163,android,4,"Quick update, the charging has excelllent sound. Would not recommend right now.",5.4.2,2025-11-01
AR-000164,android,3,"For the price, the wifi refuses to pair. Expected better from Lumen.",5.3.2,2025-03-07
AR-000165,ios,2,"I love how this has excellent sound, but the setup login never completes.",5.4.2,2025-11-22
AR-000166,android,2,"I love how this looks fantastic, but the sound microphone sounds muffled. Would not recommend right now.",5.5.0,2026-02-07
AR-000167,ios,2,"Exactly what I wanted: a device that won't sync. Also, the delivery box was damaged. Support, can you help?",5.3.2,2025-05-19
AR-000168,ios,1,"Honestly, the microphone noise cancellation got worse. Also, the setup account linking fails.",5.5.0,2026-03-05
AR-000169,android,3,"For the price, the performance became painfully slow. This is getting old.",5.3.2,2025-03-04
AR-000170,ios,4,"I love how this is surprisingly responsive, but the firmware stutters constantly. Expected better from Lumen.",5.4.0,2025-07-04
AR-000171,android,3,"Since yesterday, the login account linking fails. Would not recommend right now.",5.5.0,2026-02-07
AR-000172,android,3,"I love how this looks fantastic, but the bluetooth won't sync.",5.5.0,2026-04-21
AR-000173,ios,1,"Sadly, the performance became painfully slow.",5.4.2,2025-10-05
AR-000174,android,2,"Three weeks in, the firmware lags after every tap.",5.4.0,2025-08-28
AR-000175,android,3,"Three weeks in, the volume volume is too low. Expected better from Lumen.",5.3.2,2025-04-17
AR-000176,android,3,"For the price, the noise cancellation sound crackles. Please fix this.",5.4.2,2025-10-06
AR-000177,android,2,"After the latest update, the battery life barely lasts 6 hours. Expected better from Lumen. ???",5.5.0,2026-02-24
AR-000178,android,2,"After the latest update, the screen freezes every few minutes. Also, the buttons hurts after an hour. ???",5.3.2,2025-01-31
AR-000179,android,4,"Three weeks in, the performance fits perfectly.",5.5.0,2026-04-04
AR-000180,android,2,"Honestly, the installation setup loops forever. ugh",5.5.0,2026-06-08
AR-000181,ios,5,"Since yesterday, the installation feels premum. This is getting old.",5.4.0,2025-09-12
AR-000182,ios,2,"Sadly, the pairing won't sync. Also, the sound microphone sounds muffled. Also, the interface keeps crashing. Please fix this.",5.4.0,2025-09-13
AR-000183,ios,2,"After the latest update, the login instrucctions are confusing.",5.5.0,2026-02-06
AR-000184,android,1,"For the price, the performance stutters constantly.",5.4.2,2026-01-01
AR-000185,ios,1,"Sadly, the power drain barely lasts 6 hours!! Also, the connection drops the connection. Please fix this.",5.5.0,2026-05-09
AR-000186,ios,5,"Not gonna lie, the power drain has excellent sound. This is getting old.",5.3.2,2025-05-14
AR-000187,android,2,"Exactly what I wanted: a device that account linking fails. Support, can you help?",5.5.0,2026-05-03
AR-000188,ios,2,"Since yesterday, the login login never completes.",5.3.2,2025-03-21
AR-000189,android,5,"After the latest update, the wifi was easy to set up.",5.4.2,2026-01-11
AR-000190,ios,1,"Three weeks in, the screen case scratches easily. Support, can you help?",5.4.0,2025-09-30
AR-000191,android,2,"Not gonna lie, the onboarding login never completes.",5.3.2,2025-04-01
AR-000192,android,1,"Sincce yesterday, the sync won't sync. This is getting old.",5.5.0,2026-02-23
AR-000193,android,2,"After the latest update, the interface became painfully slow.",5.3.2,2025-02-07
AR-000194,ios,2,"After the latest update, the setup onboarding is broken.",5.3.2,2025-05-28
AR-000195,ios,1,"Sadly, the installation setup loops forever. Support, can you help?",5.3.2,2025-04-09
AR-000196,android,1,"Sadly, the battery drains while idle. Please fix this.",5.4.0,2025-08-17
AR-000197,ios,2,"Love paying premium prices so the login setup loops forever. Support, can you help?",5.3.2,2025-06-04
AR-000198,ios,3,"For the price, the volume feels premium.",5.5.0,2026-06-06
AR-000199,android,1,"Since yesterday, the onboarding onboarding is broken!! Also, the charging won't hold a charge. Also, the sound audio cuts out. Would not recommend right now.",5.4.0,2025-06-25
AR-000200,ios,4,"Sadly, the onboarding account linking fails.",5.3.2,2025-03-10
AR-000201,android,4,"After the latest update, the buttons is surprisingly responsive. Expected better from Lumen.",5.5.0,2026-03-23
AR-000202,ios,1,"Honestly, the setup setup loops forever. Also, the power drain won't hold a charge. Would not recommend right now.",5.4.0,2025-09-16
AR-000203,ios,1,"Sadly, the sync drops the connection. Also, the interface stutters constantly.",5.3.2,2025-03-28
AR-000204,android,3,"I love how this was easy to set up, but the noise cancellation audio cuts out. Hope the next patch sorts it out.",5.3.2,2025-06-12
AR-000205,android,5,"Not gonna lie, the microphone works exactly as promised. Please fix this.",5.5.0,2026-04-27
AR-000206,ios,2,"Not gonna lie, the power drain barely lasts 4 hours. Would not recommend right now.",5.4.2,2025-12-06
AR-000207,ios,1,"For the price, the charging dies before lunch. Support, can you help?",5.4.0,2025-07-06
AR-000208,ios,3,"Exactly what I wanted: a device that onboarding is broken. Support, can you help?",5.4.2,2025-10-12
AR-000209,ios,2,"Honestly, the power drain barely lasts 5 hours. Also, the shipping box was damaged. This is getting old.",5.4.0,2025-09-09
AR-000210,android,1,"Not gonna lie, the volume microphone sounds muffled. Also, the battery life drains while idle. Would not recommend right now. #notimpressed",5.5.0,2026-06-06
AR-000211,android,2,"For the price, the sound volume is too low... Would not recommend right now.",5.5.0,2026-03-15
AR-000212,android,5,"After the latest update, the fit is surprisingly responsive.",5.5.0,2026-06-21
AR-000213,ios,4,"Quick update, the case has excellent sound.",5.5.0,2026-02-12
AR-000214,android,3,"Sadly, the screen freezes every few minutes. Also, the bluetooth disconnects at random. This is getting old. ugh",5.3.2,2025-03-29
AR-000215,ios,2,"I love how this made my routine easier, but the firmware freezes every few minutes. Would not recommend right now.",5.4.0,2025-08-04
AR-000216,ios,3,"Quick update, the screen case scratches easily. Hope the next patch sorts it out. :/",5.4.2,2026-01-03
AR-000217,ios,2,"Sadly, the firmware freezes every few minutes. Please fix this.",5.5.0,2026-02-25
AR-000218,android,2,Five stars for making sure the charge dies before lunch. Just kidding.,5.4.2,2025-10-11
AR-000219,ios,2,"For the price, the volume volume is too low. Also, the connection won't sync. Support, can you help?",5.5.0,2026-03-20
AR-000220,android,1,"Not gonna lie, the interface became painfully slow.",5.3.2,2025-06-07
AR-000221,android,2,"I love how this fits perfectly, but the onbboarding onboarding is broken.",5.4.0,2025-09-19
AR-000222,android,2,"Not gonna lie, the charge drains while idle. Also, the design hurts after an hour. ???",5.4.2,2025-11-08
AR-000223,android,3,"Honestly, the fit hurts after an hour.",5.5.0,2026-05-21
AR-000224,android,4,"I love how this has excellent sound, but the onboarding onboarding is broken. Expected better from Lumen.",5.4.2,2025-10-14
AR-000225,ios,2,Five stars for making sure the connection refuses to pair. Just kidding. Exppected better from Lumen.,5.5.0,2026-02-20
AR-000226,ios,2,"Three weeks in, the batery barely lasts 5 hours.",5.5.0,2026-02-12
AR-000227,android,1,"After the latest update, the sync drops the connection. Also, the microphone volume is too low.",5.3.2,2025-02-19
AR-000228,ios,1,"Three weeks in, the audio noise cancellation got worse.",5.3.2,2025-06-03
AR-000229,android,1,"I love how this was easy to set up, but the interface freezes every few minutes!! Also, the power drain won't hold a charge. Hope the next patch sorts it out.",5.5.0,2026-06-24
AR-000230,ios,4,"Since yesterday, the app freezes every few minutes.",5.5.0,2026-06-20
AR-000231,ios,4,"Since yesterday, the account feels premium...",5.3.2,2025-06-09
AR-000232,android,2,"Since yesterday, the power drain drains while idle. Hope the next patch sorts it out.",5.4.0,2025-06-19
AR-000233,android,1,"Honestly, the battery life drains while idle. This is getting old.",5.3.2,2025-03-24
AR-000234,android,1,"Not gonna lie, the pairing won't sync.",5.3.2,2025-01-30
AR-000235,android,2,"After the latest update, the power drain drains while idle. Please fix this.",5.5.0,2026-05-25
AR-000236,android,2,"For the price, the charge needs charging twice a day.",5.4.2,2025-12-27
AR-000237,ios,3,"Not gonna lie, the performance keeps crashing...",5.5.0,2026-06-04
AR-000238,android,1,"Not gonna lie, the volume microphone sounds muffled. Also, the sync drops the connection. Also, the interface became painfully slow. Please fix this.",5.5.0,2026-06-18
AR-000239,ios,2,"Three weeks in, the firmware stutters constantly. Would not recommend right now.",5.4.0,2025-06-16
AR-000240,android,3,"Honestly, the setup onboarding is broken. Expected better from Lumen.",5.4.0,2025-08-13
AR-000241,ios,5,"For the price, the firmware fits perfectly. Expected better from Lumen.",5.5.0,2026-06-02
AR-000242,ios,3,"I love how this looks fantastic, but the app became painfully slow. Please fix this.",5.4.0,2025-09-23
AR-000243,android,3,"After the latest update, the setup login never completes. Hope the next patch sorts it out.",5.4.0,2025-09-27
AR-000244,ios,2,"I love how this has excellent sound, but the power drain dies before lunch...",5.5.0,2026-02-10
AR-000245,android,5,"Not gonna lie, the bluetooth has excellent sound.",5.5.0,2026-06-18
AR-000246,android,3,"For the price, the login instructions are confusing.",5.3.2,2025-01-24
AR-000247,android,4,"For the price, the performance has excellent sound. This is gettng old.",5.4.0,2025-09-03
AR-000248,ios,1,"For the price, the onboarding insttructions are confusing. Please fix this.",5.5.0,2026-06-09
AR-000249,ios,2,"For the price, the box box was damaged. Also, the installation account linking fails. Please fix this.",5.4.2,2025-12-29
AR-000250,ios,1,"Quick update, the screen lags afer every tap. Also, the volume noise cancellation got worse. Would not recommend right now.",5.3.2,2025-05-11
AR-000251,android,1,"For the price, the microphone audio cuts out. Support, can you help?",5.3.2,2025-03-09
AR-000252,ios,1,"I love how this made my routine easier, but the app keeps crashing. Also, the battery drains while idle. Also, the login settup loops forever.",5.4.2,2025-12-21
AR-000253,android,5,"For the price, the connection looks fanttastic. :/",5.5.0,2026-04-21
AR-000254,android,2,"After the latest update, the installation login never completes.",5.4.2,2025-10-10
AR-000255,ios,4,"For the price, the battery has excellent sound.",5.4.0,2025-07-01
AR-000256,android,5,"After the latest update, the app is surprisingly responsive. Expected better from Lumen. #notimpressed",5.4.0,2025-06-25
AR-000257,ios,3,"Quick update, the charge drains while idle. Also, the connection forgets my device. Support, can you help?",5.4.2,2026-01-31
AR-000258,ios,2,"Honestly, the power drain drains while idle. Also, the microphone sound crackles. This is getting old.",5.4.0,2025-08-30
AR-000259,ios,4,"For the price, the battery made my routine easier. This is getting old.",5.5.0,2026-03-13
AR-000260,ios,4,"Sadly, the case feels premium. Expected better from Lumen.",5.5.0,2026-03-12
AR-000261,android,2,"Three weeks in, the sound noise cancellation got worse. Also, the fit hurts after an hour. This is getting old. ???",5.5.0,2026-04-10
AR-000262,ios,3,"I love how this was easy to set up, but the design buttons feel cheap.",5.4.0,2025-08-20
AR-000263,ios,5,"Three weeks in, the charge feels premium. Please fix this.",5.3.2,2025-01-11
AR-000264,ios,1,"Ater the latest update, the installation instructions are confusing. Also, the wifi won't sync. This is getting old.",5.5.0,2026-03-22
