record_id,source,date,product_sku,star_rating,text,clean_text,vader_base_compound,vader_compound,vader_sentiment,topic,month,severity,period,analysis_sentiment,simulated_post_fix_sentiment
PR-000130,product_reviews,2026-01-04,LUMEN-HUB-MINI,4.0,"Three weeks in, the battery is surprisingly responsive. Please fix this.",three weeks battery surprisingly responsive please fix,0.7184,0.7184,positive,Battery & charging,2026-01-01,0.0,before,0.7184,
PR-000150,product_reviews,2026-01-17,LUMEN-HUB-MINI,2.0,"Amazing job, Lumen—now my battery needs charging twice a day.",amazing job lumen now battery needs charging twice day,0.5859,0.5859,positive,Battery & charging,2026-01-01,0.0,before,0.5859,
PR-000180,product_reviews,2025-11-25,LUMEN-WATCH-X,3.0,"Three weeks in, the charging made my routine easier. Would not recommend right now.",three weeks charging made routine easier would not recommend_NEG right_NEG now_NEG,0.1754,0.1754,positive,Battery & charging,2025-11-01,0.0,before,0.1754,
PR-000276,product_reviews,2025-12-31,LUMEN-BUDS-2,5.0,"Honestly, the battery is surprisingly responsive.",honestly battery surprisingly responsive,0.7717,0.7717,positive,Battery & charging,2025-12-01,0.0,before,0.7717,
PR-000283,product_reviews,2026-01-22,LUMEN-HUB-MINI,5.0,"For the price, the power drain looks fantastic. Support, can you help?",price power drain looks fantastic support can you help,0.8402,0.8402,positive,Battery & charging,2026-01-01,0.0,before,0.8402,
PR-000289,product_reviews,2026-01-31,LUMEN-BUDS-2,1.0,"Since yesterday, the volume sound crackles. Also, the battery drains while idle. Hope the next patch sorts it out.",since yesterday volume sound crackles also battery drains while idle hope next patch sorts out,0.4404,-0.23960000000000004,negative,Battery & charging,2026-01-01,0.23960000000000004,before,-0.23960000000000004,
PR-000297,product_reviews,2026-01-26,LUMEN-WATCH-X,5.0,"Three weeks in, the charge works exactly as promised. Expected better from Lumen.",three weeks charge works exactly as promised expected better from lumen,0.6597,0.6597,positive,Battery & charging,2026-01-01,0.0,before,0.6597,
PR-000307,product_reviews,2025-11-04,LUMEN-HUB-MINI,2.0,"For the price, the battery barely lasts 5 hours. Also, the app became painfully slow. Also, the buttons case scratches easily. This is getting old.",price battery barely lasts hours also app became painfully slow also buttons case scratches easily getting old,-0.25,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
PR-000322,product_reviews,2025-11-28,LUMEN-HUB-MINI,2.0,"Honestly, the battery life drains while idle. This is getting old.",honestly battery life drains while idle getting old,0.4588,0.11879999999999996,positive,Battery & charging,2025-11-01,0.0,before,0.11879999999999996,
PR-000350,product_reviews,2026-01-24,LUMEN-HUB-MINI,1.0,"Honestly, the charge barely lasts 4 hours. Also, the interface stutters constantly. Hope the next patch sorts it out. :/",honestly charge barely lasts hours also interface stutters constantly hope next patch sorts out,0.3612,-0.31880000000000003,negative,Battery & charging,2026-01-01,0.31880000000000003,before,-0.31880000000000003,
PR-000366,product_reviews,2025-11-30,LUMEN-WATCH-X,3.0,Five stars for making sure the battery life won't hold a charge. Just kidding.,five stars making sure battery life will not hold_NEG charge_NEG just kidding,0.4019,-0.72,negative,Battery & charging,2025-11-01,0.72,before,-0.72,
PR-000373,product_reviews,2026-01-23,LUMEN-HUB-MINI,2.0,"Since yesterday, the charge won't hold a charge. This is getting old.",since yesterday charge will not hold_NEG charge_NEG getting old,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-000401,product_reviews,2025-11-20,LUMEN-BUDS-2,1.0,"For the price, the charge drains while idle. Also, the setup setup loops forever. Would not recommend right now.",price charge drains while idle also setup setup loops forever would not recommend_NEG right_NEG now_NEG,-0.2755,-0.9555,negative,Battery & charging,2025-11-01,0.9555,before,-0.9555,
PR-000425,product_reviews,2025-11-05,LUMEN-WATCH-X,3.0,"I love how this made my routine easier, but the charging needs charging twice a day!! Hope the next patch sorts it out.",i love made routine easier charging needs charging twice day hope next patch sorts out,0.8374,0.8374,positive,Battery & charging,2025-11-01,0.0,before,0.8374,
PR-000427,product_reviews,2026-01-10,LUMEN-WATCH-X,4.0,"For the price, the charge made my routine easier. Please fix this.",price charge made routine easier please fix,0.6249,0.6249,positive,Battery & charging,2026-01-01,0.0,before,0.6249,
PR-000429,product_reviews,2025-11-27,LUMEN-BUDS-2,2.0,"Honestly, the charge barely lasts 2 hours.",honestly charge barely lasts hours,0.4588,0.11879999999999996,positive,Battery & charging,2025-11-01,0.0,before,0.11879999999999996,
PR-000446,product_reviews,2025-11-04,LUMEN-WATCH-X,4.0,"Quick update, the charge feels premium. Expcted better from Lumen.",quick update charge feels premium expcted better from lumen,0.4404,0.4404,positive,Battery & charging,2025-11-01,0.0,before,0.4404,
PR-000463,product_reviews,2026-01-20,LUMEN-HUB-MINI,2.0,"After the latest update, the power drain barely lasts 6 hours. Hope the next patch sorts it out.",latest update power drain barely lasts hours hope next patch sorts out,0.4404,-0.23960000000000004,negative,Battery & charging,2026-01-01,0.23960000000000004,before,-0.23960000000000004,
PR-000466,product_reviews,2025-11-30,LUMEN-WATCH-X,1.0,"Not gonna lie, the battery life barely lasts 6 hours. Would not recommend right now. ???",not gonna_NEG lie_NEG battery life barely lasts hours would not recommend_NEG right_NEG now_NEG,-0.3919,-0.7319,negative,Battery & charging,2025-11-01,0.7319,before,-0.7319,
PR-000471,product_reviews,2025-12-03,LUMEN-BUDS-2,3.0,"Quick update, the battery life needs charging twice a day. ugh",quick update battery life needs charging twice day ugh,-0.4215,-0.4215,negative,Battery & charging,2025-12-01,0.4215,before,-0.4215,
PR-000477,product_reviews,2026-01-22,LUMEN-BUDS-2,2.0,"I love how this has excellent sound, but the power drain drains while idle. Would not recommend right now.",i love has excellent sound power drain drains while idle would not recommend_NEG right_NEG now_NEG,0.3149,-0.02510000000000001,neutral,Battery & charging,2026-01-01,0.02510000000000001,before,-0.02510000000000001,
PR-000489,product_reviews,2026-01-13,LUMEN-WATCH-X,2.0,"After the latest update, the onboarding instructions are confusing. Also, the charge drains while idle.",latest update onboarding instructions confusing also charge drains while idle,-0.2263,-1.0,negative,Battery & charging,2026-01-01,1.0,before,-1.0,
PR-000523,product_reviews,2026-01-05,LUMEN-BUDS-2,2.0,"After the latest update, the power drain drains while idle.",latest update power drain drains while idle,0.0,-0.68,negative,Battery & charging,2026-01-01,0.68,before,-0.68,
PR-000524,product_reviews,2025-11-26,LUMEN-HUB-MINI,3.0,"I love how this works exactly as promised, but the battery needs charging twice a day. Also, the pairing disconnects at random. Also, the screen buttons feel cheap.",i love works exactly as promised battery needs charging twice day also pairing disconnects at random also screen buttons feel cheap,0.5187,-0.1613,negative,Battery & charging,2025-11-01,0.1613,before,-0.1613,
PR-000531,product_reviews,2026-01-21,LUMEN-WATCH-X,1.0,"I love how this has excellet sound, but the charge dies before lunch. Expected better from Lumen.",i love has excellet sound charge dies before lunch expected better from lumen,0.7543,0.41429999999999995,positive,Battery & charging,2026-01-01,0.0,before,0.41429999999999995,
PR-000536,product_reviews,2025-11-08,LUMEN-WATCH-X,2.0,"Quick update, the battery barely lasts 6 hours...",quick update battery barely lasts hours,0.0,-0.34,negative,Battery & charging,2025-11-01,0.34,before,-0.34,
PR-000538,product_reviews,2025-12-11,LUMEN-HUB-MINI,2.0,"Since yesterday, the battery won't hold a charge. Also, the case screen is hard to read.",since yesterday battery will not hold_NEG charge_NEG also case screen hard read,-0.1027,-0.7827000000000001,negative,Battery & charging,2025-12-01,0.7827000000000001,before,-0.7827000000000001,
PR-000547,product_reviews,2025-12-24,LUMEN-BUDS-2,3.0,"For the price, the charge drains while idle. Also, the microphone sound crackles. ???",price charge drains while idle also microphone sound crackles,0.0,-0.68,negative,Battery & charging,2025-12-01,0.68,before,-0.68,
PR-000589,product_reviews,2025-12-19,LUMEN-BUDS-2,2.0,"I love how this has excellent sound, but the battery life barely lasts 5 hours. Also, the box box was damaged. Also, the noise cancellation microphone sounds muffled. Hope the next patch sorts it out.",i love has excellent sound battery life barely lasts hours also box box damaged also noise cancellation microphone sounds muffled hope next patch sorts out,0.6059,-0.4141,negative,Battery & charging,2025-12-01,0.4141,before,-0.4141,
PR-000590,product_reviews,2025-11-30,LUMEN-BUDS-2,4.0,"Sadly, the battery looks fantastic.",sadly battery looks fantastic,0.2023,0.2023,positive,Battery & charging,2025-11-01,0.0,before,0.2023,
PR-000606,product_reviews,2026-01-27,LUMEN-BUDS-2,1.0,"Not gonna lie, the battery life needs charging twiice a day.",not gonna_NEG lie_NEG battery life needs charging twiice day,0.0,0.0,neutral,Battery & charging,2026-01-01,-0.0,before,0.0,
PR-000617,product_reviews,2026-01-27,LUMEN-WATCH-X,2.0,"After the latest update, the charge needs charging twice a day.",latest update charge needs charging twice day,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-000626,product_reviews,2026-01-31,LUMEN-BUDS-2,2.0,"I love how this is surprisingly responsve, but the battery dies before lunch. Support, can you help?",i love surprisingly responsve battery dies before lunch support can you help,0.8834,0.5433999999999999,positive,Battery & charging,2026-01-01,0.0,before,0.5433999999999999,
PR-000631,product_reviews,2025-11-13,LUMEN-HUB-MINI,5.0,"Honestly, the battery has excellent sound.",honestly battery has excellent sound,0.7717,0.7717,positive,Battery & charging,2025-11-01,0.0,before,0.7717,
PR-000638,product_reviews,2026-01-29,LUMEN-HUB-MINI,1.0,"Not gonna lie, the charging barely lasts 6 hours.",not gonna_NEG lie_NEG charging barely lasts hours,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-000699,product_reviews,2025-11-21,LUMEN-BUDS-2,1.0,"Honestly, the power drain dies before lunch.",honestly power drain dies before lunch,0.4588,0.11879999999999996,positive,Battery & charging,2025-11-01,0.0,before,0.11879999999999996,
PR-000720,product_reviews,2025-11-20,LUMEN-WATCH-X,2.0,"Honestly, the charging dies before lunch. Also, the interface freezes every few minutes. Hope the next patch sorts it out.",honestly charging dies before lunch also interface freezes few minutes hope next patch sorts out,0.7003,0.020299999999999985,neutral,Battery & charging,2025-11-01,0.0,before,0.020299999999999985,
PR-000763,product_reviews,2025-12-11,LUMEN-BUDS-2,2.0,"Quick update, the charging drrains while idle. Please fix this.",quick update charging drrains while idle please fix,0.3182,0.3182,positive,Battery & charging,2025-12-01,0.0,before,0.3182,
PR-000768,product_reviews,2026-01-07,LUMEN-HUB-MINI,1.0,"Amazing job, Lumen—now my package replacement never came. Also, the charging needs charging twice a day. Would not recommend right now. smh",amazing job lumen now package replacement not came_NEG also charging needs charging twice day would not recommend_NEG right_NEG now_NEG smh,0.1002,0.1002,positive,Battery & charging,2026-01-01,0.0,before,0.1002,
PR-000789,product_reviews,2025-11-14,LUMEN-HUB-MINI,4.0,"After the latest update, the charge was easy to set up.",latest update charge easy set up,0.4404,0.10039999999999999,positive,Battery & charging,2025-11-01,0.0,before,0.10039999999999999,
PR-000811,product_reviews,2025-12-08,LUMEN-WATCH-X,2.0,"Quick update, the charging needs charging twice a day. Support, can you help?",quick update charging needs charging twice day support can you help,0.6597,0.6597,positive,Battery & charging,2025-12-01,0.0,before,0.6597,
PR-000835,product_reviews,2025-11-10,LUMEN-BUDS-2,5.0,"Not gonna lie, the battery was easy to set up.",not gonna_NEG lie_NEG battery easy set up,0.4404,0.4404,positive,Battery & charging,2025-11-01,0.0,before,0.4404,
PR-000854,product_reviews,2025-12-24,LUMEN-BUDS-2,1.0,"Not gonna lie, the account onboarding is broken. Also, the charge won't hold a charge.",not gonna_NEG lie_NEG account onboarding broken also charge will not hold_NEG charge_NEG,-0.4767,-1.0,negative,Battery & charging,2025-12-01,1.0,before,-1.0,
PR-000857,product_reviews,2026-01-03,LUMEN-HUB-MINI,1.0,"I love how this was easy to set up, but the battery life needs charging twice a day.",i love easy set up battery life needs charging twice day,0.5499,0.5499,positive,Battery & charging,2026-01-01,0.0,before,0.5499,
PR-000859,product_reviews,2026-01-07,LUMEN-WATCH-X,4.0,"Three weeks in, the power drain made my routine easier. ???",three weeks power drain made routine easier,0.5171,0.5171,positive,Battery & charging,2026-01-01,0.0,before,0.5171,
PR-000863,product_reviews,2025-11-06,LUMEN-WATCH-X,2.0,"Honestly, the charging needs charging twice a day.",honestly charging needs charging twice day,0.4588,0.4588,positive,Battery & charging,2025-11-01,0.0,before,0.4588,
PR-000874,product_reviews,2026-01-18,LUMEN-BUDS-2,5.0,"After the latest update, the battery made my routine easier. This is getting old.",latest update battery made routine easier getting old,0.4215,0.08149999999999996,positive,Battery & charging,2026-01-01,0.0,before,0.08149999999999996,
PR-000878,product_reviews,2026-01-11,LUMEN-WATCH-X,3.0,"Since yesterday, the charge barely lasts 4 hours...",since yesterday charge barely lasts hours,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-000891,product_reviews,2026-01-26,LUMEN-WATCH-X,3.0,"Not gonna lie, the battery life fits perfectly. Please fix this.",not gonna_NEG lie_NEG battery life fits perfectly please fix,0.7579,0.7579,positive,Battery & charging,2026-01-01,0.0,before,0.7579,
PR-000910,product_reviews,2025-12-23,LUMEN-HUB-MINI,3.0,"After the latest update, the charging barely lasts 6 hours. This is getting old.",latest update charging barely lasts hours getting old,0.0,-0.68,negative,Battery & charging,2025-12-01,0.68,before,-0.68,
PR-000948,product_reviews,2026-01-12,LUMEN-BUDS-2,1.0,"After the latest update, the battery life dies before lunch.",latest update battery life dies before lunch,0.0,-0.68,negative,Battery & charging,2026-01-01,0.68,before,-0.68,
PR-000955,product_reviews,2026-01-06,LUMEN-BUDS-2,5.0,"Not gonna lie, the battery life looks fantastic. Expected better from Lumen.",not gonna_NEG lie_NEG battery life looks fantastic expected better from lumen,0.7579,0.7579,positive,Battery & charging,2026-01-01,0.0,before,0.7579,
PR-000969,product_reviews,2025-11-15,LUMEN-BUDS-2,1.0,"Honestly, the battery life drains while idle. Also, the volume audio cuts out. Support, can you help?",honestly battery life drains while idle also volume audio cuts out support can you help,0.7351,0.05509999999999993,positive,Battery & charging,2025-11-01,0.0,before,0.05509999999999993,
PR-000983,product_reviews,2025-12-27,LUMEN-WATCH-X,3.0,"After the latest update, the power drain barely lasts 3 hours. Please fix this.",latest update power drain barely lasts hours please fix,0.3182,-0.36180000000000007,negative,Battery & charging,2025-12-01,0.36180000000000007,before,-0.36180000000000007,
PR-001001,product_reviews,2026-01-24,LUMEN-HUB-MINI,1.0,"Sadly, the charging barely lasts 3 hours. #notimpressed",sadly charging barely lasts hours notimpressed,-0.4215,-0.7615000000000001,negative,Battery & charging,2026-01-01,0.7615000000000001,before,-0.7615000000000001,
PR-001012,product_reviews,2025-11-21,LUMEN-BUDS-2,3.0,"Amazing job, Lumen—now my battery won't hold a charge... Also, the setup login never completes. Also, the firmware lags after every tap. Would not recommend right now.",amazing job lumen now battery will not hold_NEG charge_NEG also setup login not completes_NEG also firmware lags tap would not recommend_NEG right_NEG now_NEG,0.049,-0.971,negative,Battery & charging,2025-11-01,0.971,before,-0.971,
PR-001015,product_reviews,2025-12-04,LUMEN-BUDS-2,4.0,"I love how this has excellent sound, but the charge won't hold a charge. Expected better from Lumen.",i love has excellent sound charge will not hold_NEG charge_NEG expected better from lumen,0.8316,0.4916,positive,Battery & charging,2025-12-01,0.0,before,0.4916,
PR-001024,product_reviews,2026-01-19,LUMEN-WATCH-X,5.0,"Sadly, the charging is surprisingly responsive. Hope the next patch sorts it out.",sadly charging surprisingly responsive hope next patch sorts out,0.5859,0.5859,positive,Battery & charging,2026-01-01,0.0,before,0.5859,
PR-001091,product_reviews,2026-01-22,LUMEN-WATCH-X,3.0,"For the pric, the power drain dies before lunch.",pric power drain dies before lunch,0.0,-0.34,negative,Battery & charging,2026-01-01,0.34,before,-0.34,
PR-001092,product_reviews,2025-11-15,LUMEN-HUB-MINI,2.0,"After the latest update, the battery dies before lunch. Would not recommend right now.",latest update battery dies before lunch would not recommend_NEG right_NEG now_NEG,-0.2755,-0.9555,negative,Battery & charging,2025-11-01,0.9555,before,-0.9555,
PR-001097,product_reviews,2025-11-22,LUMEN-BUDS-2,3.0,"Quick update, the charge dies before luncch. Also, the noise cancellation volume is too low. Also, the installation onboarding is broken.",quick update charge dies before luncch also noise cancellation volume too low also installation onboarding broken,-0.6369,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
PR-001105,product_reviews,2026-01-18,LUMEN-HUB-MINI,5.0,"Three weeks in, the charge feels premium. Please fix this.",three weeks charge feels premium please fix,0.3182,0.3182,positive,Battery & charging,2026-01-01,0.0,before,0.3182,
PR-001124,product_reviews,2025-12-08,LUMEN-WATCH-X,2.0,"Three weeks in, the battery barely lasts 5 hours.",three weeks battery barely lasts hours,0.0,-0.34,negative,Battery & charging,2025-12-01,0.34,before,-0.34,
PR-001135,product_reviews,2025-12-03,LUMEN-HUB-MINI,3.0,"I love how this looks fantastic, but the battery dies before lunch. Support, can you help?",i love looks fantastic battery dies before lunch support can you help,0.9001,0.5601,positive,Battery & charging,2025-12-01,0.0,before,0.5601,
PR-001163,product_reviews,2025-11-19,LUMEN-WATCH-X,2.0,"Five stars for making sure the battery life dies before lunch. Just kidding. Also, the account login never completes. Support, can you help?",five stars making sure battery life dies before lunch just kidding also account login not completes_NEG support can you help,0.484,-0.72,negative,Battery & charging,2025-11-01,0.72,before,-0.72,
PR-001218,product_reviews,2025-12-05,LUMEN-BUDS-2,1.0,"Not gonna lie, the charging barely lasts 3 hours. Also, the fit screen is hard to read. Also, the firmware lags after every tap. smh",not gonna_NEG lie_NEG charging barely lasts hours also fit screen hard read also firmware lags tap smh,-0.4019,-1.0,negative,Battery & charging,2025-12-01,1.0,before,-1.0,
PR-001256,product_reviews,2026-01-29,LUMEN-BUDS-2,2.0,"I love how this has excellent sound, but the charge needs charging twice a day. Expected better from Lumen.",i love has excellent sound charge needs charging twice day expected better from lumen,0.8316,0.8316,positive,Battery & charging,2026-01-01,0.0,before,0.8316,
PR-001274,product_reviews,2025-11-05,LUMEN-HUB-MINI,1.0,"Sadly, the power drain drains while idle. Hope the next patch sorts it out.",sadly power drain drains while idle hope next patch sorts out,0.0258,-0.31420000000000003,negative,Battery & charging,2025-11-01,0.31420000000000003,before,-0.31420000000000003,
PR-001281,product_reviews,2025-12-25,LUMEN-BUDS-2,2.0,"For the price, the charging drains whie idle. Also, the design fit is uncomfortable.",price charging drains whie idle also design fit uncomfortable,-0.0258,-0.7058000000000001,negative,Battery & charging,2025-12-01,0.7058000000000001,before,-0.7058000000000001,
PR-001286,product_reviews,2025-12-18,LUMEN-HUB-MINI,5.0,"Three weeks in, the battery made my routie easier. Hope the next patch sorts it out. ???",three weeks battery made routie easier hope next patch sorts out,0.7383,0.7383,positive,Battery & charging,2025-12-01,0.0,before,0.7383,
PR-001306,product_reviews,2025-11-25,LUMEN-BUDS-2,4.0,"Sadly, the charging was easy to set up.",sadly charging easy set up,0.0258,0.0258,neutral,Battery & charging,2025-11-01,0.0,before,0.0258,
PR-001351,product_reviews,2025-11-15,LUMEN-BUDS-2,2.0,"After the latest update, the battery life drains while idle. Expected better from Lumen. :/",latest update battery life drains while idle expected better from lumen,0.128,-0.552,negative,Battery & charging,2025-11-01,0.552,before,-0.552,
PR-001354,product_reviews,2026-01-05,LUMEN-WATCH-X,5.0,"After the latest update, the battery was easy to set up. This is getting old.",latest update battery easy set up getting old,0.4404,0.10039999999999999,positive,Battery & charging,2026-01-01,0.0,before,0.10039999999999999,
PR-001379,product_reviews,2025-11-24,LUMEN-HUB-MINI,2.0,"For the price, the charging barely lasts 2 hours. Expected better from Lumen.",price charging barely lasts hours expected better from lumen,0.4404,0.10039999999999999,positive,Battery & charging,2025-11-01,0.0,before,0.10039999999999999,
PR-001394,product_reviews,2025-12-13,LUMEN-WATCH-X,1.0,"Not gonna lie, the sync won't sync. Also, the charge won't hold a charge.",not gonna_NEG lie_NEG sync will not sync_NEG also charge will not hold_NEG charge_NEG,0.0,-0.68,negative,Battery & charging,2025-12-01,0.68,before,-0.68,
PR-001444,product_reviews,2025-12-30,LUMEN-HUB-MINI,3.0,"For the price, the battery needs charging twice a day.",price battery needs charging twice day,0.0,0.0,neutral,Battery & charging,2025-12-01,-0.0,before,0.0,
PR-001456,product_reviews,2025-12-30,LUMEN-WATCH-X,2.0,"Honestly, the battery life drains while idle. Support, can you help?",honestly battery life drains while idle support can you help,0.8126,0.47259999999999996,positive,Battery & charging,2025-12-01,0.0,before,0.47259999999999996,
PR-001474,product_reviews,2026-01-26,LUMEN-WATCH-X,3.0,"Not gonna lie, the power drain won't hold a charge. Hope the next patch sorts it out.",not gonna_NEG lie_NEG power drain will not hold_NEG charge_NEG hope next patch sorts out,0.4404,0.10039999999999999,positive,Battery & charging,2026-01-01,0.0,before,0.10039999999999999,
PR-001486,product_reviews,2025-12-25,LUMEN-HUB-MINI,3.0,"I love how this works exactly as promised, but the battery barely lasts 6 hours.",i love works exactly as promised battery barely lasts hours,0.5187,0.17870000000000003,positive,Battery & charging,2025-12-01,0.0,before,0.17870000000000003,
PR-001489,product_reviews,2025-12-09,LUMEN-HUB-MINI,2.0,"Quick update, the battery life dies before lunch. Please fix this.",quick update battery life dies before lunch please fix,0.3182,-0.02180000000000004,neutral,Battery & charging,2025-12-01,0.02180000000000004,before,-0.02180000000000004,
PR-001493,product_reviews,2026-01-30,LUMEN-HUB-MINI,2.0,"After the latest update, the battery dies before lunch. Please fix this.",latest update battery dies before lunch please fix,0.3182,-0.36180000000000007,negative,Battery & charging,2026-01-01,0.36180000000000007,before,-0.36180000000000007,
PR-001507,product_reviews,2025-12-10,LUMEN-HUB-MINI,1.0,"Sadly, the battery life needs charging twice a day. Would not recommend right now. smh",sadly battery life needs charging twice day would not recommend_NEG right_NEG now_NEG smh,-0.7359,-0.7359,negative,Battery & charging,2025-12-01,0.7359,before,-0.7359,
PR-001524,product_reviews,2025-12-23,LUMEN-BUDS-2,2.0,"Not gonna lie, the charging barely lasts 6 hours. Also, the onboarding account linking fails. Also, the screen fit is uncomfortable. Hope the next patch sorts it out.",not gonna_NEG lie_NEG charging barely lasts hours also onboarding account linking fails also screen fit uncomfortable hope next patch sorts out,-0.0,-1.0,negative,Battery & charging,2025-12-01,1.0,before,-1.0,
PR-001546,product_reviews,2025-12-21,LUMEN-BUDS-2,2.0,"Since yesterday, the battery life made my routine easier. This is getting old.",since yesterday battery life made routine easier getting old,0.4215,0.4215,positive,Battery & charging,2025-12-01,0.0,before,0.4215,
PR-001597,product_reviews,2025-11-12,LUMEN-BUDS-2,1.0,"Not gonna lie, the buttons hurts after an hour. Also, the charge barely lasts 4 hours. Also, the volume sound crackles.",not gonna_NEG lie_NEG buttons hurts hour also charge barely lasts hours also volume sound crackles,-0.4767,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
PR-001635,product_reviews,2025-11-13,LUMEN-WATCH-X,2.0,"Sadly, the screen freezes every few minutes. Also, the battery barely lasts 3 hours.",sadly screen freezes few minutes also battery barely lasts hours,-0.4404,-1.0,negative,Battery & charging,2025-11-01,1.0,before,-1.0,
PR-001638,product_reviews,2025-11-05,LUMEN-HUB-MINI,3.0,"For the price, the battery life won't hold a charge. Would not recommend right now.",price battery life will not hold_NEG charge_NEG would not recommend_NEG right_NEG now_NEG,-0.2755,-0.6155,negative,Battery & charging,2025-11-01,0.6155,before,-0.6155,
PR-001642,product_reviews,2026-01-19,LUMEN-WATCH-X,2.0,"Sadly, the charge barely lasts 5 hours. Support, can you help?",sadly charge barely lasts hours support can you help,0.3818,0.04179999999999995,neutral,Battery & charging,2026-01-01,0.0,before,0.04179999999999995,
PR-001692,product_reviews,2026-01-03,LUMEN-WATCH-X,2.0,"Since yesterday, the charge needs charging twice a day.",since yesterday charge needs charging twice day,0.0,0.0,neutral,Battery & charging,2026-01-01,-0.0,before,0.0,
PR-001708,product_reviews,2026-01-30,LUMEN-BUDS-2,2.0,"I love how this feels premium, but the battery life barely lasts 3 hours. Support, can you help? :/",i love feels premium battery life barely lasts hours support can you help,0.765,0.425,positive,Battery & charging,2026-01-01,0.0,before,0.425,
PR-001729,product_reviews,2026-01-15,LUMEN-WATCH-X,2.0,"After the latest update, the charge drains while idle. Also, the login instructions are confusing.",latest update charge drains while idle also login instructions confusing,-0.2263,-1.0,negative,Battery & charging,2026-01-01,1.0,before,-1.0,
PR-001743,product_reviews,2025-11-08,LUMEN-WATCH-X,1.0,"Since yesterday, the power drain barely lasts 4 hours. Also, the sound microphone sounds muffled. This is getting old.",since yesterday power drain barely lasts hours also sound microphone sounds muffled getting old,0.0,-0.68,negative,Battery & charging,2025-11-01,0.68,before,-0.68,
PR-001744,product_reviews,2026-01-23,LUMEN-HUB-MINI,4.0,"Quick update, the performance keeps crashing. Also, the charge drains while idle.",quick update performance keeps crashing also charge drains while idle,0.0,-0.68,negative,Battery & charging,2026-01-01,0.68,before,-0.68,
PR-001777,product_reviews,2025-11-15,LUMEN-HUB-MINI,1.0,"Sadly, the charging won't hold a charge.",sadly charging will not hold_NEG charge_NEG,-0.4215,-0.7615000000000001,negative,Battery & charging,2025-11-01,0.7615000000000001,before,-0.7615000000000001,
